,LOCATION,INDICATOR,TIME,Value
0,AUS,MEDICALDOC,2015,3.5
1,AUT,MEDICALDOC,2015,5.09
2,BEL,MEDICALDOC,2015,3.02
3,CAN,MEDICALDOC,2015,2.66
4,DNK,MEDICALDOC,2015,3.68
5,FRA,MEDICALDOC,2015,3.34
6,DEU,MEDICALDOC,2015,4.14
7,HUN,MEDICALDOC,2015,3.1
8,ISL,MEDICALDOC,2015,3.78
9,IRL,MEDICALDOC,2015,2.86
10,ITA,MEDICALDOC,2015,3.84
11,KOR,MEDICALDOC,2015,2.24
12,LUX,MEDICALDOC,2015,2.91
13,MEX,MEDICALDOC,2015,2.35
14,NZL,MEDICALDOC,2015,3.01
15,NOR,MEDICALDOC,2015,4.4
16,POL,MEDICALDOC,2015,2.33
17,ESP,MEDICALDOC,2015,3.85
18,CHE,MEDICALDOC,2015,4.2
19,TUR,MEDICALDOC,2015,1.81
20,GBR,MEDICALDOC,2015,2.77
21,USA,MEDICALDOC,2015,2.58
22,EST,MEDICALDOC,2015,3.41
23,ISR,MEDICALDOC,2015,3.07
24,SVN,MEDICALDOC,2015,2.83
25,LVA,MEDICALDOC,2015,3.2
26,LTU,MEDICALDOC,2015,4.34
